S 68312c,1 miss 
L 683180,8 miss 
L 683124,4 hit 
L 683120,4 hit 

L 603140,4 miss 
S 643520,4 miss eviction 
L 603144,4 hit 
S 6435a0,4 miss 
L 603148,4 hit 
S 643620,4 miss 
L 60314c,4 hit 
S 6436a0,4 miss 
L 603150,4 hit 
S 643720,4 miss 
L 603154,4 hit 
S 6437a0,4 miss 
L 603158,4 hit 
S 643820,4 miss 
L 60315c,4 hit 
S 6438a0,4 miss 
L 6031c0,4 miss 
S 643524,4 hit 
L 6031c4,4 hit 
S 6435a4,4 hit 
L 6031c8,4 hit 
S 643624,4 hit 
L 6031cc,4 hit 
S 6436a4,4 hit 
L 6031d0,4 hit 
S 643724,4 hit 
L 6031d4,4 hit 
S 6437a4,4 hit 
L 6031d8,4 hit 
S 643824,4 hit 
L 6031dc,4 hit 
S 6438a4,4 hit 
L 603240,4 miss 
S 643528,4 hit 
L 603244,4 hit 
S 6435a8,4 hit 
L 603248,4 hit 
S 643628,4 hit 
L 60324c,4 hit 
S 6436a8,4 hit 
L 603250,4 hit 
S 643728,4 hit 
L 603254,4 hit 
S 6437a8,4 hit 
L 603258,4 hit 
S 643828,4 hit 
L 60325c,4 hit 
S 6438a8,4 hit 
L 6032c0,4 miss 
S 64352c,4 hit 
L 6032c4,4 hit 
S 6435ac,4 hit 
L 6032c8,4 hit 
S 64362c,4 hit 
L 6032cc,4 hit 
S 6436ac,4 hit 
L 6032d0,4 hit 
S 64372c,4 hit 
L 6032d4,4 hit 
S 6437ac,4 hit 
L 6032d8,4 hit 
S 64382c,4 hit 
L 6032dc,4 hit 
S 6438ac,4 hit 
L 603340,4 miss 
S 643530,4 hit 
L 603344,4 hit 
S 6435b0,4 hit 
L 603348,4 hit 
S 643630,4 hit 
L 60334c,4 hit 
S 6436b0,4 hit 
L 603350,4 hit 
S 643730,4 hit 
L 603354,4 hit 
S 6437b0,4 hit 
L 603358,4 hit 
S 643830,4 hit 
L 60335c,4 hit 
S 6438b0,4 hit 
L 6033c0,4 miss 
S 643534,4 hit 
L 6033c4,4 hit 
S 6435b4,4 hit 
L 6033c8,4 hit 
S 643634,4 hit 
L 6033cc,4 hit 
S 6436b4,4 hit 
L 6033d0,4 hit 
S 643734,4 hit 
L 6033d4,4 hit 
S 6437b4,4 hit 
L 6033d8,4 hit 
S 643834,4 hit 
L 6033dc,4 hit 
S 6438b4,4 hit 
L 603440,4 miss 
S 643538,4 hit 
L 603444,4 hit 
S 6435b8,4 hit 
L 603448,4 hit 
S 643638,4 hit 
L 60344c,4 hit 
S 6436b8,4 hit 
L 603450,4 hit 
S 643738,4 hit 
L 603454,4 hit 
S 6437b8,4 hit 
L 603458,4 hit 
S 643838,4 hit 
L 60345c,4 hit 
S 6438b8,4 hit 
L 6034c0,4 miss 
S 64353c,4 hit 
L 6034c4,4 hit 
S 6435bc,4 hit 
L 6034c8,4 hit 
S 64363c,4 hit 
L 6034cc,4 hit 
S 6436bc,4 hit 
L 6034d0,4 hit 
S 64373c,4 hit 
L 6034d4,4 hit 
S 6437bc,4 hit 
L 6034d8,4 hit 
S 64383c,4 hit 
L 6034dc,4 hit 
S 6438bc,4 hit 

L 603160,4 miss 
S 643920,4 miss eviction 
L 603164,4 hit 
S 6439a0,4 miss eviction 
L 603168,4 hit 
S 643a20,4 miss eviction 
L 60316c,4 hit 
S 643aa0,4 miss eviction 
L 603170,4 hit 
S 643b20,4 miss eviction 
L 603174,4 hit 
S 643ba0,4 miss eviction 
L 603178,4 hit 
S 643c20,4 miss eviction 
L 60317c,4 hit 
S 643ca0,4 miss eviction 
L 6031e0,4 miss 
S 643924,4 hit 
L 6031e4,4 hit 
S 6439a4,4 hit 
L 6031e8,4 hit 
S 643a24,4 hit 
L 6031ec,4 hit 
S 643aa4,4 hit 
L 6031f0,4 hit 
S 643b24,4 hit 
L 6031f4,4 hit 
S 643ba4,4 hit 
L 6031f8,4 hit 
S 643c24,4 hit 
L 6031fc,4 hit 
S 643ca4,4 hit 
L 603260,4 miss 
S 643928,4 hit 
L 603264,4 hit 
S 6439a8,4 hit 
L 603268,4 hit 
S 643a28,4 hit 
L 60326c,4 hit 
S 643aa8,4 hit 
L 603270,4 hit 
S 643b28,4 hit 
L 603274,4 hit 
S 643ba8,4 hit 
L 603278,4 hit 
S 643c28,4 hit 
L 60327c,4 hit 
S 643ca8,4 hit 
L 6032e0,4 miss 
S 64392c,4 hit 
L 6032e4,4 hit 
S 6439ac,4 hit 
L 6032e8,4 hit 
S 643a2c,4 hit 
L 6032ec,4 hit 
S 643aac,4 hit 
L 6032f0,4 hit 
S 643b2c,4 hit 
L 6032f4,4 hit 
S 643bac,4 hit 
L 6032f8,4 hit 
S 643c2c,4 hit 
L 6032fc,4 hit 
S 643cac,4 hit 
L 603360,4 miss 
S 643930,4 hit 
L 603364,4 hit 
S 6439b0,4 hit 
L 603368,4 hit 
S 643a30,4 hit 
L 60336c,4 hit 
S 643ab0,4 hit 
L 603370,4 hit 
S 643b30,4 hit 
L 603374,4 hit 
S 643bb0,4 hit 
L 603378,4 hit 
S 643c30,4 hit 
L 60337c,4 hit 
S 643cb0,4 hit 
L 6033e0,4 miss 
S 643934,4 hit 
L 6033e4,4 hit 
S 6439b4,4 hit 
L 6033e8,4 hit 
S 643a34,4 hit 
L 6033ec,4 hit 
S 643ab4,4 hit 
L 6033f0,4 hit 
S 643b34,4 hit 
L 6033f4,4 hit 
S 643bb4,4 hit 
L 6033f8,4 hit 
S 643c34,4 hit 
L 6033fc,4 hit 
S 643cb4,4 hit 
L 603460,4 miss 
S 643938,4 hit 
L 603464,4 hit 
S 6439b8,4 hit 
L 603468,4 hit 
S 643a38,4 hit 
L 60346c,4 hit 
S 643ab8,4 hit 
L 603470,4 hit 
S 643b38,4 hit 
L 603474,4 hit 
S 643bb8,4 hit 
L 603478,4 hit 
S 643c38,4 hit 
L 60347c,4 hit 
S 643cb8,4 hit 
L 6034e0,4 miss 
S 64393c,4 hit 
L 6034e4,4 hit 
S 6439bc,4 hit 
L 6034e8,4 hit 
S 643a3c,4 hit 
L 6034ec,4 hit 
S 643abc,4 hit 
L 6034f0,4 hit 
S 643b3c,4 hit 
L 6034f4,4 hit 
S 643bbc,4 hit 
L 6034f8,4 hit 
S 643c3c,4 hit 
L 6034fc,4 hit 
S 643cbc,4 hit 
L 603180,4 miss eviction 
S 643d20,4 miss eviction 
L 603184,4 hit 
S 643da0,4 miss eviction 
L 603188,4 hit 
S 643e20,4 miss eviction 
L 60318c,4 hit 
S 643ea0,4 miss eviction 
